drinkid,category_name,img,title,price,description,score,alcohol,style_info,aroma_info,flavor_info,finish_info,smoothness_info,enjoy_info,pairing_info,page
34,레드 와인,https://cdn.imweb.me/thumbnail/20211012/e1ece2e51924d.png,[ 카시스 ] 산타헬레나 까베르네 소비뇽 ( 칠레와인 ),"9,900원",매일 마셔도 마실 것 같은 데일리 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
35,레드 와인,https://cdn.imweb.me/thumbnail/20211008/3db01843646d4.png,[ 오크 ] 디킨 쉬라즈 ( 호주와인 ),"5,900원",부드러움이 주머니에 쏘옥,,,,,,,,,"chicken, pizza, 치킨, 피자",
36,레드 와인,https://cdn.imweb.me/thumbnail/20211217/271e7e768d56a.png,[ 피망 ] 오케스트라 까베르네소비뇽 ( 스페인와인 ),"11,900원",우아한 풀바디의 와인과 훌륭한 탄닌과 구조감 긴 여운?,,,,,,,,,"chicken, pizza, 치킨, 피자",
37,레드 와인,https://cdn.imweb.me/thumbnail/20211012/681209aefd65d.png,[ 블루베리 ] 파시스 레드 블렌드 ( 포르투갈와인 ),"22,900원",포르투갈 데일리 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
38,레드 와인,https://cdn.imweb.me/thumbnail/20211012/ed2ba7e50ebd3.png,[ 블랙베리 ] 킬리빙빙 스크림 쉬라즈 ( 호주와인 ),"39,900원",실패하지 않는 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
39,레드 와인,https://cdn.imweb.me/thumbnail/20211012/b090e13de3c71.png,[ 오크 ] 엘 레시오 ( 스페인와인 ),"36,900원",와인수령에 따라 세대로 표현함,,,,,,,,,"chicken, pizza, 치킨, 피자",
40,레드 와인,https://cdn.imweb.me/thumbnail/20211008/ca54f87a125e7.png,"[ 블랙베리, 다크초코 ] 19크라임스 레드 블렌드 ( 호주와인 )","25,900원",블랙베리와 다크초코릿향이 매력적인 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
41,레드 와인,https://cdn.imweb.me/thumbnail/20211012/6ca4199c11b25.png,[ 체리 ] 브레드앤버터 피노누아 ( 미국와인 ),"45,900원",오크리한 나파밸리 피노누아의 표본,,,,,,,,,"chicken, pizza, 치킨, 피자",
42,레드 와인,https://cdn.imweb.me/thumbnail/20211012/e44417e91f240.png,[ 제비꽃 ] 올트레 파소 프리미티보 ( 이탈리아와인 ),"18,900원",과실과 오크의 우아한 밸런스,,,,,,,,,"chicken, pizza, 치킨, 피자",
43,레드 와인,https://cdn.imweb.me/thumbnail/20211012/a683b6aac2657.png,[ 오크 ] 폴레로 까베르네 소비뇽 ( 칠레와인 ),"10,900원","한식, 파스타, 치즈 등 모든 음식에 잘어울리는 칠레 레드와인 ?",,,,,,,,,"chicken, pizza, 치킨, 피자",
44,레드 와인,https://cdn.imweb.me/thumbnail/20211210/6ad414a8129cf.png,[ 블랙베리 ] 밀라칼라 ( 칠레와인 ),"56,900원",보르도 스타일로 블렌딩된 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
45,레드 와인,https://cdn.imweb.me/thumbnail/20211012/312f92addca71.png,[ 붉은 과실 ] 투썩 점퍼 와일드보어 피노누아 ( 프랑스와인 ),"16,900원",지역 대표 포도품종과 동물,,,,,,,,,"chicken, pizza, 치킨, 피자",
46,레드 와인,https://cdn.imweb.me/thumbnail/20211110/6c046ab031698.png,[ 블랙베리 ] 엘 비에호 ( 스페인와인 ),"78,900원","100년 넘는 와인 고목, 16개월 오크 숙성",,,,,,,,,"chicken, pizza, 치킨, 피자",
47,레드 와인,https://cdn.imweb.me/thumbnail/20211110/d2c1a49482d96.png,[ 과실 ] 보졸레누보 ( 프랑스와인 ),"26,900원",보졸레누보 사전예약 할인판매,,,,,,,,,"chicken, pizza, 치킨, 피자",
48,레드 와인,https://cdn.imweb.me/thumbnail/20211210/9d349c14efa0c.png,"[ 코코아,오크 ] 케이머스 ( 미국와인 )","139,000원",까베르네 소비뇽의 제왕,,,,,,,,,"chicken, pizza, 치킨, 피자",
49,레드 와인,https://cdn.imweb.me/thumbnail/20211110/54824acb13ff5.png,"[ 바닐라, 블랙베리 ] 브레드앤버터 까베르네 소비뇽 ( 미국와인 )","45,900원",1만 5천명이 선택한 4.0 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
50,레드 와인,https://cdn.imweb.me/thumbnail/20211012/0d006bb5360ce.png,[ 오크 ] 롱반 리저브 카버네 소비뇽 ( 미국와인 ),"19,900원",오크향 물씬 나는 데일리 미국 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
51,레드 와인,https://cdn.imweb.me/thumbnail/20211110/f6e8de187cf52.png,[ 오크 ] 마르케스 데 리스칼 그란레세르바 ( 스페인와인 ),"69,900원",2016대한민국구대륙레드와인부문 대상,,,,,,,,,"chicken, pizza, 치킨, 피자",
52,레드 와인,https://cdn.imweb.me/thumbnail/20211008/b5f96719b0779.png,[ 레드베리 ] 까스텔라레 디 까스텔리나 끼안티 클라시코 ( 이탈리아와인 ),"38,900원",2019년 와인 스펙터 17위,,,,,,,,,"chicken, pizza, 치킨, 피자",
53,레드 와인,https://cdn.imweb.me/thumbnail/20211012/1f3232bde95dc.png,[ 오크 ] 베리칸토 까베르네 소비뇽 ( 이탈리아와인 ),"35,800원",병이 예쁜 만큼 맛있는 이탈리안 레드 (비비노 4?),,,,,,,,,"chicken, pizza, 치킨, 피자",
54,레드 와인,https://cdn.imweb.me/thumbnail/20211110/9874d464fd819.png,[ 붉은 과일 ] 카사 로호 마초맨 ( 스페인와인 ),"52,600원",인증 받은 가성비 최고인 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
55,레드 와인,https://cdn.imweb.me/thumbnail/20211110/fcc77511300f8.png,[ 블랙베리 ] 페레즈 크루즈 C/S 리제르바 ( 칠레와인 ),"18,900원",극강의 가성비 칠레 까베르네 쇼비뇽,,,,,,,,,"chicken, pizza, 치킨, 피자",
56,레드 와인,https://cdn.imweb.me/thumbnail/20211008/cba24d68c375c.png,[ 블랙베리 ] 까를로 스칼라 프리미티보 디 만두리아 ( 이탈리아와인 ),"26,900원",와린이도 편하게 마실 수 있는 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
57,레드 와인,https://cdn.imweb.me/thumbnail/20211012/5a1f159e9589a.png,[ 과실 ] 쎄멜리 네메아 리제르바 ( 그리스와인 ),"41,900원",처음에 느껴지는 과실 향과 마지막에 넘어가면서 잡아주는 탄닌이 긴 여운을 준다,,,,,,,,,"chicken, pizza, 치킨, 피자",
58,레드 와인,https://cdn.imweb.me/thumbnail/20211012/ca5a5031c0d8b.png,"[ 딸기, 오크 ] 새틀라이트 피노누아 ( 뉴질랜드와인 )","34,900원",뉴질랜드 대표 와이너리의 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
59,레드 와인,https://cdn.imweb.me/thumbnail/20211012/f71c9c0977ee0.png,[ 붉은 과실 ] 아르떼로 ( 스페인와인 ),"14,900원",편하게 마시기 좋은 데일리 레드와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
60,레드 와인,https://cdn.imweb.me/thumbnail/20211110/d07d30e9c8e24.png,[ 초코릿 ] 초콜릿박스 쉬라즈  ( 호주와인 ),"37,900원",러버들을 위한 기념일 선물 - 초콜릿 박스,,,,,,,,,"chicken, pizza, 치킨, 피자",
61,레드 와인,https://cdn.imweb.me/thumbnail/20211012/b2b581f126972.png,[ 검붉은 과실 ] 킬리빙빙 시크릿 ( 호주와인 ),"23,900원",검붉은 과실 향과 향신료 향이 매력,,,,,,,,,"chicken, pizza, 치킨, 피자",
62,레드 와인,https://cdn.imweb.me/thumbnail/20211008/d419709b1c788.png,[ 바닐라 ] 1865 까베르네 소비뇽 ( 칠레와인 ),"31,900원",골퍼 인기 18홀 65타 치세요!,,,,,,,,,"chicken, pizza, 치킨, 피자",
63,레드 와인,https://cdn.imweb.me/thumbnail/20211110/4eedc1c5bd3ac.png,[ 블랙베리 ] 블루넌 돈펠더 ( 독일와인 ),"19,900원",와린이들 불러 모을 달콤한 풀바디 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
64,레드 와인,https://cdn.imweb.me/thumbnail/20211012/297e2136c27a8.png,[ 체리 ] 피오체사레 바롤로 ( 이탈리아와인 ),"115,000원",세계 100대 와인 중 6위,,,,,,,,,"chicken, pizza, 치킨, 피자",
65,레드 와인,https://cdn.imweb.me/thumbnail/20211012/af454c6c8956b.png,[ 블랙베리 ] 조쉬 레드블렌드 ( 미국와인 ),"38,900원",비비노 세계 상위 탑5% 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
66,레드 와인,https://cdn.imweb.me/thumbnail/20211012/a48de8801943e.png,[ 검붉은 과실 ] 타르퀴노 말벡 ( 아르헨티나와인 ),"19,900원",탄탄한 구조감과 반대로 부드러운 목넘김,,,,,,,,,"chicken, pizza, 치킨, 피자",
67,레드 와인,https://cdn.imweb.me/thumbnail/20211012/9bfcd901871c8.png,[ 검붉은 체리 ] 엘하워드 멜롯 ( 칠레와인 ),"10,300원",메를로를 첫 시작하는 당신께,,,,,,,,,"chicken, pizza, 치킨, 피자",
68,레드 와인,https://cdn.imweb.me/thumbnail/20211012/6cdac96039a98.png,"[ 라즈베리, 딸기 ] 브라운 브라더스 시에나 ( 호주와인 )","21,900원",시에나 품종으로 만든 유일한 와이너리,,,,,,,,,"chicken, pizza, 치킨, 피자",
69,레드 와인,https://cdn.imweb.me/thumbnail/20211012/d32f51309029a.png,[ 체리 ] 베리칸토 피노누아 ( 이탈리아와인 ),"36,900원",붉은 과실의 신선함이 넘친 이탈리안 레드와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
70,레드 와인,https://cdn.imweb.me/thumbnail/20211012/e47716901f89f.png,[ 송로버섯 ] 트라피체 멜로디아스 말벡 ( 아르헨티나와인 ),"12,900원",아름다운 탱고 선율과 같은 와인?,,,,,,,,,"chicken, pizza, 치킨, 피자",
71,레드 와인,https://cdn.imweb.me/thumbnail/20211110/055b4d70dd9a2.png,"[ 체리, 복숭아 ] 카사로호 무쏘 템프라니요 ( 스페인와인 )","17,900원",와이너리에 대한 존경이 담긴 유기농 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
72,레드 와인,https://cdn.imweb.me/thumbnail/20211110/8bd0815d81e54.png,"[ 체리, 허브 ] 발레피치올라 끼안티 클라시코 ( 이탈리아와인 )","39,900원",부르고뉴 프리미엄 피노누아 같은 느낌,,,,,,,,,"chicken, pizza, 치킨, 피자",
73,레드 와인,https://cdn.imweb.me/thumbnail/20211202/b14a4a40000e6.png,[ 오크 ] 르보르 드 도작 ( 프랑스와인 ),"32,900원",보르도 메독 5등급 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
74,레드 와인,https://cdn.imweb.me/thumbnail/20211110/89ea3975e499b.png,[ 향신료 ] 머드하우스 피노누아 ( 뉴질랜드와인 ),"34,900원",여러 상으로 인증 받은 뉴질랜드 피노누아,,,,,,,,,"chicken, pizza, 치킨, 피자",
75,레드 와인,https://cdn.imweb.me/thumbnail/20211012/b62498cd42f9f.png,[ 모카 ] 뷰마넨 싱글 빈야드 ( 칠레와인 ),"35,900원",떼루아가 진하게 담긴 숙성의 향,,,,,,,,,"chicken, pizza, 치킨, 피자",
76,레드 와인,https://cdn.imweb.me/thumbnail/20211012/fadd858bb13ed.png,[ 자두 ] 라푸리시마 ( 스페인와인 ),"13,900원",2018 코리아 와인 챌린지 은메달,,,,,,,,,"chicken, pizza, 치킨, 피자",
77,레드 와인,https://cdn.imweb.me/thumbnail/20211012/24c06649d8749.png,"[ 체리, 후추 ] 프로메사 ( 스페인와인 )","25,900원",농익은 과실 향이 숙성도가 좋은 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
78,레드 와인,https://cdn.imweb.me/thumbnail/20211110/ea07256b09e95.png,타르퀴노 레제르바 말벡 ( 아르헨티나와인 ),"24,900원",아르헨티나 최고의 말벡 생산지 멘도사 지역의 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
79,레드 와인,https://cdn.imweb.me/thumbnail/20211012/d5b9842326410.png,[ 배 ] 요하네스호프 라이니쉬 로트기플러 ( 오스트리아와인 ),"33,900원",오스트리아에서만 자라는 토착품종,,,,,,,,,"chicken, pizza, 치킨, 피자",
80,레드 와인,https://cdn.imweb.me/thumbnail/20211008/4deb920d0fa9d.png,[ 가죽 ] 꼬또 데 이마스 그랑 레제르바 ( 스페인와인 ),"49,000원",스페인 와인 최고 그랑 리제르바 등급,,,,,,,,,"chicken, pizza, 치킨, 피자",
81,레드 와인,https://cdn.imweb.me/thumbnail/20211012/05951c7550b94.png,[ 검붉은 과실 ] 테라자스 레제르바 말벡 ( 아르헨티나와인 ),"32,900원",100% 적포도인 까베르네 소비뇽,,,,,,,,,"chicken, pizza, 치킨, 피자",
82,레드 와인,https://cdn.imweb.me/thumbnail/20211110/c3bc06aa10fb5.png,[ 바닐라 ] 덕혼 디코이 멀롯 ( 미국와인 ),"106,000원",12개월 프랑스 오크통 숙성한 좋은 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
83,레드 와인,https://cdn.imweb.me/thumbnail/20211012/e514bb48199f5.png,[ 블랙베리 ] 타라파카 그란 레제르바 까베르네 소비뇽 ( 칠레와인 ),"26,900원",칠레 국가대표 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
84,레드 와인,https://cdn.imweb.me/thumbnail/20220105/9120766ca6e99.png,[ 라즈베리 ] 핀카바카라 타임 웨이츠 포 노 원 ( 스페인와인 ),"28,900원",스페인 떼루아에 찰떡궁합 강건한 모나스트렐,,,,,,,,,"chicken, pizza, 치킨, 피자",
85,레드 와인,https://cdn.imweb.me/thumbnail/20211008/f0959da088b7e.png,[ 바닐라 ] 19크라임스 쉬라즈 ( 호주와인 ),"25,900원",살아 있는 레이블,,,,,,,,,"chicken, pizza, 치킨, 피자",
86,레드 와인,https://cdn.imweb.me/thumbnail/20211110/f90f55f24c366.png,[ 체리 ] 원티드 진 ( 이탈리아와인 ),"22,900원",미국 스타일 강한 맛과 이탈리아의 우아함,,,,,,,,,"chicken, pizza, 치킨, 피자",
87,레드 와인,https://cdn.imweb.me/thumbnail/20211008/1ca4642d682b6.png,[ 블랙과실 ] 너티 래빗 ( 스페인와인 ),"24,900원",유기농 친환경 와이너리,,,,,,,,,"chicken, pizza, 치킨, 피자",
88,레드 와인,https://cdn.imweb.me/thumbnail/20211008/ad9468ef579ba.png,"[ 오크,자두 ] LFE 까베르네 소비뇽 ( 칠레와인 )","9,900원",가성비 좋은 데일리 칠레 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
89,레드 와인,https://cdn.imweb.me/thumbnail/20211210/5ab535ec8e5bd.png,[ 스파이스 ] LFE 900 ( 칠레와인 ),"37,900원",칠레에서 느껴지는 프랑스의 향기,,,,,,,,,"chicken, pizza, 치킨, 피자",
90,레드 와인,https://cdn.imweb.me/thumbnail/20211012/ef6963cc02bdb.png,[ 가죽 ] 무초마스 레드 ( 스페인와인 ),"24,900원",스페인의 열정이 담긴 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
91,레드 와인,https://cdn.imweb.me/thumbnail/20211110/c6f5632d10ac7.png,[ 블랙커런트 ] 도피오 파소 ( 이탈리아와인 ),"19,900원",더블 에스프레소처럼 진한 풀 향기,,,,,,,,,"chicken, pizza, 치킨, 피자",
92,레드 와인,https://cdn.imweb.me/thumbnail/20211110/b2232cb117b0b.png,[ 라즈베리 ] 우드브릿지 멜롯 ( 미국와인 ),"24,900원",서늘한 기후에서 탄생한 신선한 미국와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
93,레드 와인,https://cdn.imweb.me/thumbnail/20211012/d5aa85eacf954.png,[ 과실향 ] 로쏘 데이 노트리 ( 이탈리아와인 ),"38,900원",로버트 파커 100점,,,,,,,,,"chicken, pizza, 치킨, 피자",
94,레드 와인,https://cdn.imweb.me/thumbnail/20211012/a3c5d6dcb7f8a.png,[ 자두 ] 킬리빙빙 스니키 ( 호주와인 ),"23,900원",가성비 좋은 풀바디 호주 쉬라,,,,,,,,,"chicken, pizza, 치킨, 피자",
95,레드 와인,https://cdn.imweb.me/thumbnail/20211008/81e4341baf23e.png,[ 바닐라 ] 가이서픽 까베르네 소비뇽 ( 미국와인 ),"21,900원",블랙베리 향에 달콤한 오크향이 매력적인 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
96,레드 와인,https://cdn.imweb.me/thumbnail/20211012/4dd0a9ba1b3e8.png,[ 라즈베리 ] 부르넬로 디 몬탈치노 일 포지오네 ( 이탈리아와인 ),"85,900원",와인 콩쿠르에서 금메달 수상,,,,,,,,,"chicken, pizza, 치킨, 피자",
97,레드 와인,https://cdn.imweb.me/thumbnail/20211012/215a3a97bb7cd.png,[ 블루베리 ] 몬테스 알파 퍼플엔젤 ( 칠레와인 ),"139,000원",칠레 프리미엄 와인의 대표 주자,,,,,,,,,"chicken, pizza, 치킨, 피자",
98,레드 와인,https://cdn.imweb.me/thumbnail/20211012/0448dcf6fc99c.png,"[ 블랙베리, 초코릿 ] 머피굿 캘리포니아 까베르네 소비뇽 ( 미국와인 )","28,900원",캘리포니아 까베르네 소비뇽의 대표,,,,,,,,,"chicken, pizza, 치킨, 피자",
99,레드 와인,https://cdn.imweb.me/thumbnail/20211012/91c6ca4bc583a.png,[ 블랙체리 ] 몬테스 알파 멜롯 ( 칠레와인 ),"32,900원",부드럽지만 긴 여운을 가진 와인,,,,,,,,,"chicken, pizza, 치킨, 피자",
100,레드 와인,https://cdn.imweb.me/thumbnail/20211012/e5b5f1828cbdd.png,[ 블랙베리 ] 로버트몬다비 프라이빗 셀렉션 까베르네 소비뇽 ( 미국와인 ),"36,900원",백악관이 사랑한 공식 만찬주,,,,,,,,,"chicken, pizza, 치킨, 피자",
101,레드 와인,https://cdn.imweb.me/thumbnail/20211012/4f40e267b5825.png,"[ 체리, 초코 ] 탈라몬디 모다 몬테풀치아노 다부르쪼 ( 스페인와인 )","19,900원",와인 초보자에게 열정적으로 추천,,,,,,,,,"chicken, pizza, 치킨, 피자",
102,레드 와인,https://cdn.imweb.me/thumbnail/20211012/46fadbeb43f66.png,[ 블랙베리 ] 카네파 클라시코 까베르네 소비뇽 ( 칠레와인 ),"10,900원",부드러운 칠레 레드와인을 찾는다면,,,,,,,,,"chicken, pizza, 치킨, 피자",
